time,amplitude
0.000000000000000000e+00,2.638828767562000910e-01
5.000000000000000104e-04,-3.537480530092648127e-03
1.000000000000000021e-03,3.506688158307653680e-01
1.500000000000000031e-03,3.818142427604899192e-01
2.000000000000000042e-03,-2.038304573829456678e-01
2.500000000000000052e-03,-7.950352208897190631e-02
3.000000000000000062e-03,2.047156161378200223e-01
3.500000000000000073e-03,1.187593723998304207e-01
4.000000000000000083e-03,1.862204171818181986e-01
4.500000000000000527e-03,3.041550988490871951e-02
5.000000000000000104e-03,3.906118071978852968e-01
5.499999999999999681e-03,3.841475650848890644e-01
6.000000000000000125e-03,2.535101151624358229e-01
6.500000000000000569e-03,4.732187523663961559e-01
7.000000000000000146e-03,3.429076230148612181e-01
7.499999999999999722e-03,7.255751079862107766e-02
8.000000000000000167e-03,3.067031385380071251e-01
8.500000000000000611e-03,2.436023598483926661e-02
9.000000000000001055e-03,3.716312143459291062e-01
9.499999999999999764e-03,1.649715417297538123e-01
1.000000000000000021e-02,1.190910633522288542e-01
1.050000000000000065e-02,5.872965088409270312e-03
1.099999999999999936e-02,3.797995775033400911e-01
1.149999999999999981e-02,1.064459944732672192e-01
1.200000000000000025e-02,6.319972457559502876e-02
1.250000000000000069e-02,9.898317125047111087e-02
1.300000000000000114e-02,3.040396305233631913e-01
1.349999999999999985e-02,3.042552601453904493e-01
1.400000000000000029e-02,3.500213847823668845e-01
1.450000000000000074e-02,3.898276139752469560e-01
1.499999999999999944e-02,7.654565159969167754e-01
1.549999999999999989e-02,2.845468182639563914e-01
1.600000000000000033e-02,2.861070365273670757e-01
1.650000000000000078e-02,2.422841812337354073e-01
1.700000000000000122e-02,5.391552682418547793e-01
1.750000000000000167e-02,6.485981429332730031e-01
1.800000000000000211e-02,4.048206966191835732e-01
1.849999999999999908e-02,2.646078288356439323e-01
1.899999999999999953e-02,2.751157539316422262e-01
1.949999999999999997e-02,5.814917836545523411e-01
2.000000000000000042e-02,6.162731679575874644e-01
2.050000000000000086e-02,5.973860537446661345e-01
2.100000000000000130e-02,3.807355336242144728e-01
2.150000000000000175e-02,5.875468129307933607e-01
2.199999999999999872e-02,5.915803146544669211e-01
2.249999999999999917e-02,6.363501563422938601e-01
2.299999999999999961e-02,7.859953619248478685e-01
2.350000000000000006e-02,6.681979147176020373e-01
2.400000000000000050e-02,7.624053961548697966e-01
2.450000000000000094e-02,6.343197948112702100e-01
2.500000000000000139e-02,6.645422081479186449e-01
2.550000000000000183e-02,7.122850680060386352e-01
2.600000000000000228e-02,2.697300272312994629e-01
2.649999999999999925e-02,4.710816115686708994e-01
2.699999999999999969e-02,4.165147970232534469e-01
2.750000000000000014e-02,3.628285469676509889e-01
2.800000000000000058e-02,4.221411476765075110e-01
2.850000000000000103e-02,7.705182693063373778e-01
2.900000000000000147e-02,3.007662143039444569e-01
2.950000000000000192e-02,6.772880074126278460e-01
2.999999999999999889e-02,1.624607792644631177e-01
3.049999999999999933e-02,4.509734541288238363e-01
3.099999999999999978e-02,5.704811940509385559e-01
3.150000000000000022e-02,6.738758677045932899e-01
3.200000000000000067e-02,7.144035796541573502e-01
3.250000000000000111e-02,7.420089340576495607e-01
3.300000000000000155e-02,5.201467659846966685e-01
3.350000000000000200e-02,4.999835157649445971e-01
3.400000000000000244e-02,7.640789725381399444e-01
3.450000000000000289e-02,5.537736726867422687e-01
3.500000000000000333e-02,3.383028316648697409e-01
3.550000000000000377e-02,3.722991770751150620e-01
3.600000000000000422e-02,4.265193544157800942e-01
3.649999999999999772e-02,7.283311470070086280e-01
3.699999999999999817e-02,6.830855398454411809e-01
3.749999999999999861e-02,8.247952954167495632e-01
3.799999999999999906e-02,6.380039658156331228e-01
3.849999999999999950e-02,7.941165983930340566e-01
3.899999999999999994e-02,9.257983697773829457e-01
3.950000000000000039e-02,7.734639487866482588e-01
4.000000000000000083e-02,9.551063224441338484e-01
4.050000000000000128e-02,7.515878003655266371e-01
4.100000000000000172e-02,8.223295358659781229e-01
4.150000000000000216e-02,8.202782067046023862e-01
4.200000000000000261e-02,6.508537823490019303e-01
4.250000000000000305e-02,9.743872271636538906e-01
4.300000000000000350e-02,7.661325027639682705e-01
4.350000000000000394e-02,8.443233854768644742e-01
4.399999999999999745e-02,9.212147184369605668e-01
4.449999999999999789e-02,9.012242491225369578e-01
4.499999999999999833e-02,9.369056649806728476e-01
4.549999999999999878e-02,7.816378112195662142e-01
4.599999999999999922e-02,7.193662953565816975e-01
4.649999999999999967e-02,7.946959032847685789e-01
4.700000000000000011e-02,4.818146315629956988e-01
4.750000000000000056e-02,5.383133456281564699e-01
4.800000000000000100e-02,5.692805982658900588e-01
4.850000000000000144e-02,6.362889967969848071e-01
4.900000000000000189e-02,9.123270132152091483e-01
4.950000000000000233e-02,6.423860860066160638e-01
5.000000000000000278e-02,7.341425760550978064e-01
5.050000000000000322e-02,1.052685401078782945e+00
5.100000000000000366e-02,7.036955282024069946e-01
5.150000000000000411e-02,9.062628136593086081e-01
5.200000000000000455e-02,5.602368711371424892e-01
5.249999999999999806e-02,7.008077052346214364e-01
5.299999999999999850e-02,5.552343211331942641e-01
5.349999999999999895e-02,6.899474756442340873e-01
5.399999999999999939e-02,9.472344498925774348e-01
5.449999999999999983e-02,4.627489653267033431e-01
5.500000000000000028e-02,9.296186889482419557e-01
5.550000000000000072e-02,9.275525959541618404e-01
5.600000000000000117e-02,7.982260243424209589e-01
5.650000000000000161e-02,6.618388141676517789e-01
5.700000000000000205e-02,9.940715866689414648e-01
5.750000000000000250e-02,8.953777595605485473e-01
5.800000000000000294e-02,1.061864271221504952e+00
5.850000000000000339e-02,1.026555268644834040e+00
5.900000000000000383e-02,1.343478294521702088e+00
5.950000000000000427e-02,9.722276201207256108e-01
5.999999999999999778e-02,8.107370455895533956e-01
6.049999999999999822e-02,1.047321810925878394e+00
6.099999999999999867e-02,1.054172610629831919e+00
6.149999999999999911e-02,1.284731453713610971e+00
6.199999999999999956e-02,1.187139476377365499e+00
6.250000000000000000e-02,1.102780276028557216e+00
6.300000000000000044e-02,1.338118771192817968e+00
6.350000000000000089e-02,8.225425314248117070e-01
6.400000000000000133e-02,9.456027224197972592e-01
